      TEMPERATURE         PRESSURE          Z      FUGACITY COEFFICIENT       HENRY COEFFICIENT   KCO2             KH20             YH20             XCO2
           373.15           180.13         0.622363          0.63463          5785.14          85.4891       0.00539721       0.00533442        0.0116353
           313.38            40.27          0.79085         0.820405          2406.54          179.053        0.0247668        0.0246319       0.00545068
           313.38            59.78         0.663958         0.738513           2466.9          136.929        0.0166851        0.0165653       0.00718402
           313.38            73.78         0.547007          0.68038          2511.04          122.163          0.01352        0.0134108       0.00807743
           313.38            81.22         0.463987         0.648972          2534.78          117.201         0.012282        0.0121785       0.00842972
           313.38            90.61         0.339022         0.607758          2565.04          113.199        0.0110098        0.0109136       0.00873859
           323.15              150         0.374072         0.480617          3279.28          106.836       0.00665082       0.00658898       0.00929888
           323.15            59.54         0.711215         0.764195          2935.91          156.561        0.0167492         0.016644       0.00628272
           323.15            89.53           0.5128           0.6554          3046.03          124.818        0.0111395        0.0110513       0.00792409
           323.15           120.17         0.367252         0.553095          3162.31          113.111       0.00830031       0.00822753       0.00876872
           323.15           149.59         0.373733         0.481442          3277.64           106.91       0.00666903       0.00660706       0.00929223
           323.15           179.54         0.404458         0.430553          3398.88          101.969       0.00555779       0.00550358        0.0097532
           373.15              150          0.64966         0.678536          5597.42          123.383        0.0064834       0.00643119       0.00805308
           373.15            60.68         0.839478         0.851166          5071.07          231.856        0.0160467        0.0159786       0.00424519
           373.15            89.16         0.767756         0.789783          5234.12          173.009        0.0109161        0.0108537         0.005718
           373.15           120.03         0.699154          0.72974          5415.86          141.348       0.00810519       0.00804831       0.00701823
           373.15           149.24         0.650648         0.679742          5592.75          123.748       0.00651647       0.00646415       0.00802905
           373.15           181.62         0.621588         0.632657          5794.56          110.827       0.00535286       0.00530481       0.00897543
           323.15              150         0.374072         0.480617          3279.28          128.563       0.00665082       0.00659943       0.00772727
            323.2               50         0.764188         0.799972          2904.02          215.025        0.0199447        0.0198537       0.00456008
            323.2              100         0.436657         0.618604          3087.84          144.853       0.00997354       0.00990537       0.00683583
            323.2              150         0.374285         0.480871          3281.92          128.588       0.00665079       0.00659941       0.00772579
            323.2              200         0.429183         0.404507          3486.76          118.327       0.00499011       0.00494814       0.00840958
            323.2              300         0.558132         0.328793          3930.89          102.884       0.00333079       0.00329852       0.00968771
           373.15              150          0.64966         0.678536          5597.42          145.584        0.0064834       0.00643915       0.00682496
            373.2               50          0.86744          0.87565          5012.67           330.96         0.019477        0.0194193       0.00296396
            373.2              100         0.742348         0.768009          5299.03          191.533       0.00973091        0.0096806       0.00517097
            373.2              150         0.649878         0.678683          5599.19          145.591       0.00648313       0.00643889       0.00682462
            373.2              200         0.616104         0.609968          5913.71           122.01        0.0048599       0.00482026       0.00815675
            373.2              300         0.659977         0.524852          6588.32          94.8181       0.00323796       0.00320392        0.0105128
           323.15              150         0.374072         0.480617          3279.28          152.966       0.00665082       0.00660763        0.0064945
           373.15              150          0.64966         0.678536          5597.42          169.286        0.0064834       0.00644535       0.00586933
